product_name,product_image_urls,sales_price,retail_price,product_url,brand
Beth Enamel Bright Wavy Hoop Earring,https://images.urbndata.com/is/image/UrbanOutfitters/81255507_066_b?$medium$&qlt=80&fit=constrain,9.99,17.00,https://www.urbanoutfitters.com/shop/beth-enamel-bright-wavy-hoop-earring?category=womens-clothing-sale&color=066,Urban Outfitters
UO Liv Corset Button-Down Top,https://images.urbndata.com/is/image/UrbanOutfitters/69672475_001_b?$medium$&qlt=80&fit=constrain,44.99,59.00,https://www.urbanoutfitters.com/shop/uo-liv-corset-button-down-top?category=womens-clothing-sale&color=001,Urban Outfitters
Out From Under Evie Cozy Seamed Long Sleeve Top,https://images.urbndata.com/is/image/UrbanOutfitters/80213697_054_b?$medium$&qlt=80&fit=constrain,19.99,39.00,https://www.urbanoutfitters.com/shop/out-from-under-evie-cozy-seamed-long-sleeve-top?category=womens-clothing-sale&color=054,Urban Outfitters
Urban Renewal Remnants Chino Pull-On Skate Pant,https://images.urbndata.com/is/image/UrbanOutfitters/81728198_036_b?$medium$&qlt=80&fit=constrain,34.99,69.00,https://www.urbanoutfitters.com/shop/urban-renewal-remnants-chino-pull-on-skate-pant?category=womens-clothing-sale&color=036,Urban Outfitters
HVISK Arcadia Shoulder Bag,https://images.urbndata.com/is/image/UrbanOutfitters/78721578_030_b?$medium$&qlt=80&fit=constrain,64.99,89.00,https://www.urbanoutfitters.com/shop/hvisk-arcadia-shoulder-bag?category=womens-clothing-sale&color=030,Urban Outfitters
Out From Under Koa Open-Front Hoodie Sweatshirt,https://images.urbndata.com/is/image/UrbanOutfitters/80102486_024_b?$medium$&qlt=80&fit=constrain,34.99,65.00,https://www.urbanoutfitters.com/shop/out-from-under-koa-open-front-hoodie-sweatshirt?category=womens-clothing-sale&color=024,Urban Outfitters
Rhinestone Statement Ring,https://images.urbndata.com/is/image/UrbanOutfitters/81939241_080_b?$medium$&qlt=80&fit=constrain,4.99,10.00,https://www.urbanoutfitters.com/shop/rhinestone-statement-ring2?category=womens-clothing-sale&color=080,Urban Outfitters
BDG Kurt Distressed Crew Neck Sweater,https://images.urbndata.com/is/image/UrbanOutfitters/69576809_041_b?$medium$&qlt=80&fit=constrain,49.99,69.00 – 74.00,https://www.urbanoutfitters.com/shop/bdg-kurt-distressed-crew-neck-sweater?category=womens-clothing-sale&color=041,Urban Outfitters
BDG Saga Spliced Hoodie Sweatshirt,https://images.urbndata.com/is/image/UrbanOutfitters/80438039_060_b?$medium$&qlt=80&fit=constrain,59.99,79.00,https://www.urbanoutfitters.com/shop/bdg-saga-spliced-hoodie-sweatshirt2?category=womens-clothing-sale&color=060,Urban Outfitters
Gwen Crystal Choker Necklace,https://images.urbndata.com/is/image/UrbanOutfitters/81239816_070_b?$medium$&qlt=80&fit=constrain,14.99,25.00,https://www.urbanoutfitters.com/shop/gwen-crystal-choker-necklace?category=womens-clothing-sale&color=070,Urban Outfitters
UO Cassie Satin & Lace Ruffle Midi Skirt,https://images.urbndata.com/is/image/UrbanOutfitters/80269319_041_b?$medium$&qlt=80&fit=constrain,39.99,89.00,https://www.urbanoutfitters.com/shop/uo-cassie-satin-and-lace-ruffle-midi-skirt?category=womens-clothing-sale&color=041,Urban Outfitters
