product_url,product_image_urls,product_name,sales_price,retail_price,brand
https://www.nordstromrack.com/s/philosophy-shampoo-shower-gel-bubble-bath-limited-edition/6530510?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=962,https://n.nordstrommedia.com/id/sr3/024661b3-2bb9-479e-b6a6-0403833cbba4.jpeg?h=365&w=240&dpr=2,"shampoo, shower gel & bubble bath (Limited Edition)",4.53,20.00,Nordstrom Rack
https://www.nordstromrack.com/s/adornia-sterling-silver-swarovski-crystal-accented-v-necklace/5985505?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=220,https://n.nordstrommedia.com/id/sr3/ac70b992-21f4-4df8-924b-67fc095b71c4.jpeg?h=365&w=240&dpr=2,Sterling Silver Swarovski Crystal Accented V Necklace,19.98,205.00,Nordstrom Rack
https://www.nordstromrack.com/s/baublebar-eternity-band-ring/5925438?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=661,https://n.nordstrommedia.com/id/sr3/b5b28b24-03cd-46da-a8b2-67aabde3ffa1.jpeg?h=365&w=240&dpr=2,Eternity Band Ring,12.63 – 16.08,48.00,Nordstrom Rack
https://www.nordstromrack.com/s/advanced-night-repair-synchronized-multi-recovery-complex-face-serum/5700327?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=000,https://n.nordstrommedia.com/id/sr3/1de4dab7-a398-422c-8784-0312342e026b.jpeg?h=365&w=240&dpr=2,Advanced Night Repair Synchronized Multi-Recovery Complex Face Serum,16.15,19.00,Nordstrom Rack
https://www.nordstromrack.com/s/the-sak-de-young-leather-camera-crossbody-bag/6702589?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=069,https://n.nordstrommedia.com/id/sr3/3eeb9462-1a09-4600-a84f-82247b9c0e83.jpeg?h=365&w=240&dpr=2,De Young Leather Camera Crossbody Bag,34.99 – 44.99,129.00,Nordstrom Rack
https://www.nordstromrack.com/s/yogalicious-front-twist-long-sleeve-top/6507970?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=012,https://n.nordstrommedia.com/id/sr3/e0a23ee4-792e-4540-b7db-134abbc9093b.jpeg?h=365&w=240&dpr=2,Front Twist Long Sleeve Top,12.58 – 13.48,48.00,Nordstrom Rack
https://www.nordstromrack.com/s/sarto-dune-pointed-toe-mule-women/7117520?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=400,https://n.nordstrommedia.com/id/sr3/f4232320-5d77-47ed-bedb-d0e362bf83f5.jpeg?h=365&w=240&dpr=2,Dune Pointed Toe Mule (Women),59.97,59.97 – 130.00,Nordstrom Rack
https://www.nordstromrack.com/s/bp-bp-pointelle-rib-crop-henley/5729583?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=050,https://n.nordstrommedia.com/id/sr3/cbca247f-599d-4db8-8c2c-ec6c73168489.jpeg?h=365&w=240&dpr=2,Pointelle Rib Crop Henley,5.97 – 6.00,12.00,Nordstrom Rack
https://www.nordstromrack.com/s/5812608?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=721,https://n.nordstrommedia.com/id/sr3/cb491312-815f-4035-9124-07604446ff3e.jpeg?h=365&w=240&dpr=2,Birth Flower Bracelet,24.97,38.00,Nordstrom Rack
https://www.nordstromrack.com/s/honeydew-dream-team-pj-tank-shorts-set/7063379?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=931,https://n.nordstrommedia.com/id/sr3/092dbd65-2d19-4134-a912-35cf5180aa49.jpeg?h=365&w=240&dpr=2,Dream Team PJ Tank & Shorts Set,8.80 – 21.99,12.00,Nordstrom Rack
https://www.nordstromrack.com/s/kiehls-since-1851-lip-balm-1/2922436?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=000,https://n.nordstrommedia.com/id/sr3/75255f66-668f-408a-b086-b835bc24c830.jpeg?h=365&w=240&dpr=2,Lip Balm #1,10.20,26.00,Nordstrom Rack
https://www.nordstromrack.com/s/too-faced-melted-matte-liquid-lipstick/4933979?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=654,https://n.nordstrommedia.com/id/sr3/558a71fd-f64b-401c-978d-691cf5f82274.jpeg?h=365&w=240&dpr=2,Melted Matte Liquid Lipstick,22.10,140.00,Nordstrom Rack
https://www.nordstromrack.com/s/6020738?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=040,https://n.nordstrommedia.com/id/sr3/dbdf87ac-fcd5-4eb1-b280-8213eca4d694.jpeg?h=365&w=240&dpr=2,Sterling Silver Initial Necklace,29.97,68.00,Nordstrom Rack
https://www.nordstromrack.com/s/steve-madden-bangie-wallet-on-a-string/6843931?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=326,https://n.nordstrommedia.com/id/sr3/333d1775-5d6d-4550-8257-d46e6c6404c1.jpeg?h=365&w=240&dpr=2,Bangie Wallet On A String,16.78 – 27.97,36.00,Nordstrom Rack
https://www.nordstromrack.com/s/urban-decay-all-nighter-long-lasting-makeup-setting-spray/4570927?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=000,https://n.nordstrommedia.com/id/sr3/ddb94013-bdd6-4063-89e4-de83ab5dcf10.jpeg?h=365&w=240&dpr=2,All Nighter Long-Lasting Makeup Setting Spray,30.60,22.00,Nordstrom Rack
https://www.nordstromrack.com/s/stila-stay-all-day-waterproof-micro-tip-liquid-eyeliner/4965534?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=001,https://n.nordstrommedia.com/id/sr3/e65ef0a4-5293-4217-bf3d-7e2749e70610.jpeg?h=365&w=240&dpr=2,Stay All Day® Waterproof Micro Tip Liquid Eyeliner,18.70 – 22.00,99.00,Nordstrom Rack
https://www.nordstromrack.com/s/adrienne-vittadini-nocerna-t-strap-pointed-toe-pump/5984754?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=600,https://n.nordstrommedia.com/id/sr3/ba8ea470-e500-402f-a62e-f2e978061393.jpeg?h=365&w=240&dpr=2,Nocerna T-Strap Pointed Toe Pump,29.25 – 64.99,205.00,Nordstrom Rack
https://www.nordstromrack.com/s/adornia-sterling-silver-swarovski-crystal-accented-v-necklace/5985505?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=220,https://n.nordstrommedia.com/id/sr3/ac70b992-21f4-4df8-924b-67fc095b71c4.jpeg?h=365&w=240&dpr=2,Sterling Silver Swarovski Crystal Accented V Necklace,19.98,145.00,Nordstrom Rack
https://www.nordstromrack.com/s/adornia-mother-of-pearl-flower-station-bracelet/5994488?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=100,https://n.nordstrommedia.com/id/sr3/2618d712-05f9-4b13-b28f-05e1f591c9e0.jpeg?h=365&w=240&dpr=2,Mother of Pearl Flower Station Bracelet,19.98,49.00,Nordstrom Rack
https://www.nordstromrack.com/s/nordstrom-cubic-zirconia-initial-pendant-necklace/6125083?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=712,https://n.nordstrommedia.com/id/sr3/05dd7b73-8a33-4de9-a0d0-2fc440fef367.jpeg?h=365&w=240&dpr=2,Cubic Zirconia Initial Pendant Necklace,10.49 – 17.98,32.97,Nordstrom Rack
https://www.nordstromrack.com/s/melrose-and-market-zip-front-poncho/6942933?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=001,https://n.nordstrommedia.com/id/sr3/18a36a58-bb8d-47ae-a1be-80590188f2a9.jpeg?h=365&w=240&dpr=2,Zip Front Poncho,13.19 – 16.48,23.00,Nordstrom Rack
https://www.nordstromrack.com/s/mac-technakohl-liner/2908902?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=001,https://n.nordstrommedia.com/id/sr3/b6fd0320-de1f-4a30-bc3a-34ae29458925.jpeg?h=365&w=240&dpr=2,Technakohl Liner,19.55,14.99,Nordstrom Rack
https://www.nordstromrack.com/s/stance-basic-no-show-socks-pack-of-3/6040199?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=500,https://n.nordstrommedia.com/id/sr3/45ea0b02-43e2-47fb-99c8-450cb60f4408.jpeg?h=365&w=240&dpr=2,Basic No-Show Socks - Pack of 3,6.00 – 14.99,118.00,Nordstrom Rack
https://www.nordstromrack.com/s/hobo-darcy-convertible-leather-crossbody-bag/6529321?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=717,https://n.nordstrommedia.com/id/sr3/b6c986a9-a53c-45a9-be5e-1d15224b367d.jpeg?h=365&w=240&dpr=2,Darcy Convertible Leather Crossbody Bag,33.98,34.00,Nordstrom Rack
https://www.nordstromrack.com/s/dkny-superior-lace-racerback-bralette/5861392?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=516,https://n.nordstrommedia.com/id/sr3/dad0c381-3096-4c0e-b924-bea4d9e656ec.jpeg?h=365&w=240&dpr=2,Superior Lace Racerback Bralette,11.03,29.00,Nordstrom Rack
